"danceability","energy","acousticness","tempo","loudness"
0.47,0.579,0.638,179.86,-12.316
0.228,0.046,0.812,90.57,-22.602
0.91,0.576,0.00063,122.883,-8.385
0.531,0.712,0.0666,101.43,-4.887
0.386,0.743,0.596,201.304,-9.797
0.696,0.651,0.0758,131.852,-9.023
0.736,0.51,0.151,80.353,-10.718
0.492,0.353,0.347,205.886,-14.623
0.507,0.581,0.0804,128.095,-9.315
0.639,0.546,0.0837,122.179,-5.382
0.72,0.391,0.328,119.208,-14.902
0.858,0.947,0.125,151.037,-3.557
0.53,0.616,0.107,98.76,-7.86
0.629,0.579,0.693,109.946,-12.498
0.536,0.721,0.062,117.139,-6.44
0.51,0.929,0.0608,122.036,-4.685
0.536,0.823,0.111,200.128,-10.696
0.559,0.31,0.881,119.845,-10.445
0.619,0.527,0.0692,124.356,-9.376
0.779,0.834,0.0343,100.46,-2.773
0.465,0.27,0.902,94.519,-16.661
0.858,0.666,0.268,96.605,-9.312
0.756,0.532,0.422,115.672,-11.143
0.448,0.279,0.775,92.845,-12.487
0.791,0.587,0.407,96.057,-5.075
0.339,0.625,0.057,104.68,-8.57
0.563,0.478,0.551,93.684,-10.149
0.611,0.939,0.303,108.167,-4.241
0.394,0.918,0.584,115.646,-3.743
0.645,0.884,0.15,108.68,-10.907
0.697,0.923,0.0686,121.508,-3.914
0.892,0.507,0.704,143.96,-8.282
0.721,0.585,0.454,95.216,-11.402
0.743,0.799,0.085,104.893,-5.366
0.784,0.526,0.00475,94.775,-7.763
0.652,0.795,0.156,135.018,-5.192
0.66,0.748,0.0993,143.549,-11.206
0.825,0.858,0.0102,135.027,-7.586
0.733,0.797,0.0561,128.858,-9.203
0.807,0.596,0.239,113.004,-7.508
0.691,0.492,0.405,92.019,-10.815
0.583,0.538,0.428,187.581,-12.471
0.833,0.68,0.157,98.996,-5.408
0.507,0.588,0.0359,170.889,-4.881
0.936,0.523,0.239,119.889,-6.71
0.295,0.177,0.881,75.829,-15.409
0.319,0.334,0.463,128.981,-8.705
0.539,0.885,0.0202,102.089,-4.84
0.796,0.807,0.24,124.126,-6.223
0.762,0.726,0.137,116.209,-10.705
0.803,0.856,0.57,113.082,-5.946
0.543,0.816,0.00269,134.707,-8.052
0.706,0.679,0.629,139.84,-5.565
0.392,0.871,0.631,165.265,-7.616
0.52,0.421,0.031,162.361,-12.256
0.746,0.641,0.415,137.447,-13.596
0.519,0.726,0.397,147.663,-14.546
0.315,0.484,0.272,171.156,-10.83
0.593,0.923,0.0495,124.862,-6.19
0.658,0.692,0.175,115.311,-8.38
0.491,0.589,0.00543,85.046,-12.952
0.686,0.951,0.105,117.293,-7.799
0.493,0.362,0.74,129.739,-9.56
0.558,0.439,0.369,114.969,-13.443
0.512,0.831,0.552,148.82,-9.004
0.607,0.786,0.00552,96.569,-7.081
0.352,0.895,0.00119,106.075,-7.83
0.697,0.873,0.359,128.613,-8.816
0.633,0.357,0.105,104.938,-9.366
0.701,0.69,0.0227,122.189,-10.27
0.774,0.442,0.791,78.099,-8.728
0.774,0.575,0.00521,102.858,-7.004
0.352,0.317,0.861,133.113,-8.694
0.34,0.476,0.352,115.076,-11.852
0.606,0.534,0.399,130.945,-6.758
0.719,0.704,0.0691,133.002,-4.724
0.672,0.358,0.289,113.687,-13.223
0.464,0.547,0.0511,67.003,-8.137
0.777,0.608,0.0341,131.163,-11.725
0.384,0.694,0.00589,154.973,-14.776
0.712,0.757,0.63,117.367,-6.449
0.497,0.833,0.00948,105.021,-5.978
0.513,0.501,0.002,105.778,-10.43
0.669,0.435,0.534,103.548,-9.646
0.633,0.539,0.527,137.463,-8.547
0.595,0.639,0.0663,95.912,-3.159
0.438,0.253,0.731,89.251,-14.026
0.762,0.434,0.0577,96.24,-12.612
0.51,0.903,7.37e-05,129.092,-6.811
0.743,0.417,0.513,112.35,-11.993
