"danceability","energy","acousticness","tempo","loudness"
0.763,0.777,0.281,124.431,-6.932
0.608,0.787,0.000337,113.796,-6.703
0.749,0.872,0.354,105.994,-3.461
0.545,0.684,0.637,123.847,-10.036
0.662,0.512,0.416,149.679,-7.881
0.549,0.721,0.091,143.931,-4.795
0.741,0.754,0.151,98.929,-5.899
0.722,0.859,0.079,113.332,-7.741
0.822,0.7,0.141,120.376,-6.383
0.356,0.331,0.445,111.995,-11.065
0.418,0.701,0.00809,79.022,-13.222
0.746,0.497,0.00944,160.051,-5.785
0.668,0.668,0.0833,127.976,-9.715
0.581,0.982,0.723,120.438,-6.188
0.451,0.63,0.755,142.619,-8.683
0.467,0.255,0.605,120.174,-15.963
0.603,0.82,0.00252,152.057,-4.587
0.451,0.359,0.847,76.015,-8.567
0.753,0.79,0.00184,127.991,-6.783
0.396,0.355,0.726,123.275,-12.773
0.57,0.625,0.0796,123.551,-10.742
0.742,0.384,0.000425,123.674,-17.412
0.753,0.975,0.00223,122.001,-4.621
0.344,0.722,0.522,73.019,-5.854
0.651,0.488,0.212,113.038,-8.22
0.451,0.653,0.493,78.064,-14.27
0.581,0.57,0.805,97.088,-10.029
0.601,0.857,0.0185,137.915,-5.944
0.539,0.273,0.675,114.433,-11.254
0.666,0.825,0.163,138.215,-6.294
0.919,0.622,0.228,140.022,-7.384
0.524,0.878,0.0012,130.989,-3.108
0.563,0.523,0.54,134.553,-10.685
0.706,0.751,0.173,91.031,-6.323
0.679,0.772,0.557,118.129,-8.946
0.529,0.218,0.804,101.735,-16.522
0.469,0.899,0.0119,79.553,-3.847
0.71,0.511,0.145,86.995,-6.442
0.499,0.637,0.405,169.119,-5.784
0.554,0.89,0.298,87.122,-9.931
0.864,0.549,0.781,105.045,-9.741
0.732,0.707,0.0348,140.04,-5.849
0.544,0.552,0.67,159.738,-7.45
0.478,0.915,0.284,192.084,-11.985
0.926,0.336,0.0392,92.995,-9.326
0.609,0.674,0.00378,127.541,-6.506
0.417,0.406,0.132,102.458,-9.005
0.573,0.524,0.0388,117.453,-16.128
0.525,0.477,0.266,122.887,-9.874
0.657,0.513,0.199,101.815,-8.514
0.768,0.809,0.278,111.989,-4.204
0.67,0.676,0.0201,114.974,-4.725
0.594,0.824,0.0617,116.005,-4.252
0.441,0.926,0.423,147.564,-4.736
0.347,0.4,0.63,77.987,-7.359
0.373,0.947,0.00712,152.183,-7.074
0.415,0.851,0.00474,125.961,-5.425
0.731,0.918,0.00771,120.398,-6.627
0.459,0.746,0.0779,93.3,-14.327
0.602,0.923,0.0098,136.01,-3.763
0.48,0.798,0.164,169.518,-9.936
0.537,0.532,0.596,78.336,-11.289
0.544,0.802,0.00155,130.022,-4.152
0.677,0.661,0.114,98.309,-5.136
0.583,0.66,0.181,151.956,-5.078
0.774,0.811,0.65,123.351,-6.526
0.69,0.578,0.111,124.493,-8.471
0.375,0.855,0.305,125.351,-6.792
0.681,0.638,0.699,96.882,-7.818
0.537,0.469,0.6,136.536,-7.941
0.615,0.529,0.0133,143.992,-11.25
0.809,0.931,0.0104,128.294,-7.101
0.26,0.659,0.116,184.38,-8.98
0.692,0.729,0.0127,127.967,-5.12
0.662,0.869,0.157,112.297,-7.753
0.265,0.775,0.299,164.528,-5.524
0.589,0.751,0.0785,108.849,-5.663
0.488,0.716,0.532,156.06,-5.327
0.461,0.802,0.0105,100.179,-4.279
0.535,0.58,0.272,106.663,-8.824
0.429,0.413,0.669,149.312,-9.566
0.44,0.573,0.581,178.192,-5.42
0.712,0.694,0.05,114.975,-6.621
0.604,0.417,0.0681,74.57,-12.598
0.522,0.44,0.434,97.475,-13.258
0.844,0.62,0.109,124.163,-12.739
0.691,0.873,0.125,99.997,-3.519
0.622,0.593,0.00611,75.025,-6.779
0.606,0.524,0.663,150.366,-11.902
0.679,0.684,0.0527,151.748,-8.559
0.652,0.366,0.5,137.264,-11.492
0.772,0.43,0.067,134.561,-14.602
0.636,0.826,0.632,87.665,-4.668
0.39,0.557,0.452,79.34,-6.344
0.847,0.678,0.0669,97.984,-8.635
0.753,0.824,0.000937,117.95,-4.301
0.764,0.716,0.748,129.639,-5.975
0.847,0.322,0.239,114.557,-12.922
0.624,0.845,0.301,98.361,-6.705
0.64,0.786,0.0762,130.128,-6.905
